[ 0.93149497  0.97269233  0.92365846  0.95804918  0.81801963  0.92953839
  0.96432209  0.84955911  0.9620141   0.89174293  0.92092262  0.94257471],[ 0.66189907  0.60907517  0.80081628  0.73517717  0.64571395  0.6701852
  0.78512525  0.65672543  0.75087392  0.62145641  0.81007963  0.67010668],10
[ 0.92837322  0.97263373  0.92320487  0.94792214  0.81268955  0.93083791
  0.958498    0.86715079  0.96156123  0.88611151  0.92430836  0.94651447],[ 0.65690571  0.70478798  0.82306432  0.70952715  0.61842485  0.61807092
  0.82974563  0.64376487  0.79243932  0.56713619  0.81736946  0.68589636],10
[ 0.93902681  0.97680223  0.92555647  0.94969001  0.80548404  0.9291267
  0.96730633  0.85032361  0.95856422  0.87386259  0.92164854  0.94487239],[ 0.62962815  0.68190115  0.79942205  0.7627373   0.68501578  0.61829214
  0.79031321  0.60484714  0.78360023  0.58290515  0.7982684   0.67974303],10
