[ 0.95694897  0.98075275  0.93058774  0.92979283  0.82653135  0.94233344
  0.9600557   0.88178098  0.95847073  0.9030405   0.93379541  0.95234217],[ 0.58139991  0.59851256  0.78190475  0.78586116  0.61601728  0.57388375
  0.69468605  0.6242743   0.70010525  0.56741647  0.76360973  0.68269173],10
[ 0.94816471  0.97792063  0.93176981  0.92724846  0.8157303   0.94327152
  0.9670792   0.88425655  0.95919848  0.8884221   0.92927775  0.95408736],[ 0.68488238  0.64504223  0.79947468  0.76444278  0.66328482  0.60100315
  0.70496523  0.60912887  0.71292029  0.55407787  0.7575394   0.67710939],10
[ 0.95538651  0.98184768  0.93075912  0.94186361  0.84028232  0.94678758
  0.96721322  0.87849401  0.9696722   0.91277695  0.94031922  0.95876339],[ 0.68598939  0.57955931  0.7978267   0.82213884  0.64201233  0.60279799
  0.68252134  0.63232317  0.74665756  0.53195212  0.78375302  0.67870005],10
