[ 0.98741225  0.99360876  0.96584968  0.96287745  0.88855356  0.97413556
  0.98160079  0.92297765  0.99502165  0.96554362  0.94129464  0.97089947],[ 0.62821678  0.57732919  0.56584433  0.69310065  0.59597078  0.48450286
  0.68240289  0.62076015  0.67553038  0.47742764  0.65225047  0.58451001],10
[ 0.98414773  0.99370987  0.91085613  0.96452377  0.88942974  0.97179619
  0.98025692  0.91357027  0.99264069  0.94396462  0.94966518  0.96738659],[ 0.61553613  0.60663135  0.52002329  0.71145833  0.57776414  0.47207447
  0.73766938  0.61316929  0.73221492  0.50613912  0.62581412  0.58553362],10
[ 0.9859944   0.99360876  0.91139928  0.97504417  0.89846875  0.9795649
  0.98448617  0.93579107  0.99680736  0.96629578  0.95208333  0.98000694],[ 0.66761072  0.62004019  0.4332104   0.66318994  0.551822    0.52777209
  0.65696477  0.61956616  0.70769918  0.48405404  0.67858425  0.57272414],10
