[ 0.95692692  0.99023144  0.93791668  0.95344601  0.83102669  0.95034502
  0.95598624  0.87885745  0.971345    0.90320838  0.9322768   0.96951756],[ 0.63124006  0.54165483  0.78288231  0.86716776  0.58446943  0.57850275
  0.66365304  0.60800972  0.7341918   0.60303209  0.777129    0.67888418],10
[ 0.95839017  0.99159105  0.93169686  0.94510135  0.8266873   0.93639276
  0.95267269  0.87132175  0.97206562  0.89878597  0.93271174  0.9600996 ],[ 0.62338179  0.51504005  0.79817133  0.83687553  0.65982797  0.57413004
  0.67459886  0.57891052  0.7604724   0.61409577  0.7605204   0.68104318],10
[ 0.9527508   0.9915485   0.94083922  0.95391323  0.83014735  0.94041834
  0.96755097  0.881992    0.9680545   0.9146955   0.93882502  0.96583199],[ 0.63192142  0.55858376  0.81212713  0.84170284  0.66579854  0.66167582
  0.67364135  0.54528525  0.74307057  0.60251693  0.7599559   0.68796408],10
