[ 0.96077066  0.98722487  0.94451361  0.94548048  0.82108748  0.94722398
  0.97135937  0.88792811  0.96713377  0.92896638  0.9432289   0.9658506 ],[ 0.64319459  0.58176123  0.79276543  0.75821139  0.60854123  0.55169138
  0.73297602  0.59689167  0.75237896  0.4884507   0.75622929  0.65181325],10
[ 0.96064968  0.98798793  0.9419553   0.9455514   0.82670413  0.94381271
  0.97376604  0.89150869  0.96426934  0.91685786  0.93900572  0.96709159],[ 0.61914794  0.62424395  0.81026978  0.71204008  0.63688513  0.60159363
  0.7075501   0.57349527  0.6888353   0.50575453  0.73547665  0.67153386],10
[ 0.9647776   0.98894804  0.94183353  0.9349761   0.82753614  0.93412154
  0.97489786  0.88077467  0.96666855  0.91078495  0.93922244  0.96597176],[ 0.55671178  0.61344326  0.82895514  0.71912247  0.63503876  0.58277999
  0.67262182  0.60565326  0.68262249  0.50926895  0.74710699  0.66626064],10
