[ 0.9538597   0.98277462  0.93873747  0.94820796  0.81680892  0.94906867
  0.96052463  0.87111812  0.95983594  0.90486426  0.93568552  0.93900288],[ 0.61866245  0.5788098   0.79528018  0.79821429  0.64796202  0.6283222
  0.71893618  0.64987864  0.72460481  0.58296349  0.75190192  0.68099107],10
[ 0.93829643  0.98219457  0.93466517  0.9400493   0.82516649  0.93895145
  0.96920079  0.88539125  0.95476668  0.90749338  0.93879101  0.94554403],[ 0.6101958   0.57929073  0.81238387  0.79000554  0.63799037  0.6442565
  0.72461765  0.65687357  0.72688294  0.5519577   0.77594726  0.68232499],10
[ 0.94146647  0.98488603  0.93555594  0.9346317   0.83039776  0.94743121
  0.97101579  0.87294968  0.95557716  0.91155552  0.93469703  0.94775049],[ 0.64475883  0.59989406  0.80885644  0.77699336  0.65934164  0.60930318
  0.7274891   0.66203896  0.71827777  0.57138813  0.79217749  0.69977133],10
