[ 0.97288226  0.989138    0.92638359  0.95008784  0.83872985  0.95099246
  0.97602408  0.89550077  0.96537521  0.91547802  0.9469922   0.95508808],[ 0.6422028   0.63290099  0.73852096  0.6347132   0.65543041  0.51623875
  0.6903523   0.60303701  0.72410066  0.47058824  0.7233457   0.63911529],10
[ 0.97180794  0.99066339  0.92970501  0.95744348  0.84847577  0.95732241
  0.98162495  0.89079311  0.9686822   0.91836581  0.94541951  0.95329436],[ 0.58698135  0.58544026  0.74520186  0.65836039  0.66580148  0.5380268
  0.66236676  0.61069458  0.7443647   0.45912698  0.721226    0.66269659],10
[ 0.97963869  0.98823369  0.92172514  0.94500076  0.84482379  0.95169753
  0.97679283  0.89362243  0.97359338  0.93351155  0.9389922   0.96101092],[ 0.65231935  0.62157472  0.7516382   0.67310606  0.63966362  0.55817819
  0.69282746  0.59917488  0.71693762  0.4710084   0.75361972  0.6288505 ],10
