[ 0.97323911  0.99296211  0.94733362  0.9638416   0.82491836  0.9522657
  0.96604982  0.88700855  0.97499501  0.92886931  0.9552215   0.97572169],[ 0.49508427  0.51357287  0.78042382  0.73032599  0.62190275  0.54146377
  0.6636632   0.55695448  0.65368181  0.49962441  0.71167934  0.61901752],10
[ 0.9824691   0.99365073  0.95010532  0.9565285   0.83004715  0.96436951
  0.98660594  0.89947073  0.98156792  0.92680271  0.96191235  0.98216904],[ 0.5349634   0.39822149  0.73049215  0.66285813  0.62883721  0.50313561
  0.61993165  0.53341114  0.66178205  0.45940979  0.72277309  0.59780128],10
[ 0.97879408  0.99121211  0.94299237  0.94988157  0.82680284  0.95847896
  0.97748049  0.89705562  0.97975264  0.92103405  0.94276812  0.97003548],[ 0.57858784  0.5031322   0.74416662  0.71036202  0.62270613  0.50276671
  0.67091295  0.51070324  0.68270113  0.47158954  0.72466287  0.61986555],10
