[ 0.97982257  0.98843166  0.94614031  0.94698123  0.85503825  0.96225506
  0.98214071  0.89715442  0.97868418  0.93337336  0.95032122  0.96718915],[ 0.63229935  0.5538893   0.76640874  0.6792045   0.63814956  0.59104544
  0.65707682  0.59403283  0.73069921  0.50744541  0.72797297  0.63260069],10
[ 0.97318338  0.98924606  0.94728891  0.96125     0.86027847  0.96192194
  0.97098554  0.89043568  0.95766175  0.9194316   0.93877533  0.95642784],[ 0.65497002  0.58902485  0.74574062  0.65759099  0.6465881   0.54543666
  0.67487785  0.57555781  0.73404165  0.49742173  0.73097284  0.61312251],10
[ 0.98366987  0.99198666  0.94102339  0.95771245  0.86740676  0.96649128
  0.98330229  0.89401529  0.97973625  0.93252683  0.94336224  0.97244363],[ 0.67664899  0.54675135  0.75465996  0.70153846  0.6253932   0.55615657
  0.68039251  0.56887746  0.69077488  0.56986319  0.6932891   0.61567358],10
