[ 0.94523625  0.98182449  0.93418023  0.94993374  0.84119676  0.94049383
  0.96832169  0.89746427  0.96265345  0.90390834  0.93387153  0.95145313],[ 0.62026807  0.64237304  0.79954969  0.67922078  0.66636196  0.63228826
  0.76153568  0.65508581  0.74280814  0.57090336  0.80209918  0.68360885],10
[ 0.939954    0.97916085  0.93570047  0.94527109  0.85306979  0.94187045
  0.95925316  0.89513679  0.96093292  0.90761248  0.93299936  0.95470361],[ 0.59357809  0.60440263  0.77191382  0.70561418  0.66603502  0.62246829
  0.73315266  0.61967956  0.72025251  0.54247199  0.7814749   0.68641182],10
[ 0.94308925  0.97914433  0.93184782  0.93864983  0.83728106  0.94877979
  0.96409315  0.89708509  0.96005349  0.89902748  0.93941077  0.94552857],[ 0.62134033  0.67254293  0.79565994  0.74550866  0.68551831  0.60185659
  0.73042457  0.65117031  0.72189554  0.52257236  0.82591155  0.68340795],10
