[ 0.93495982  0.97883531  0.91852358  0.92363999  0.79943641  0.92710363
  0.95941794  0.85535785  0.9469914   0.89454595  0.92090536  0.9273155 ],[ 0.63870981  0.65090052  0.84013201  0.79227575  0.66658812  0.5536557
  0.73972729  0.6591239   0.7273505   0.63928344  0.79555539  0.68649703],10
[ 0.92152897  0.97644545  0.91577313  0.92313781  0.80205276  0.92228118
  0.96277193  0.84042229  0.94692014  0.88276324  0.92340935  0.92999572],[ 0.63872473  0.67387365  0.83535342  0.81294297  0.66467221  0.57537129
  0.75238007  0.63419342  0.73104127  0.64138621  0.83115671  0.69562767],10
[ 0.92319272  0.97341882  0.91939031  0.92849456  0.80335769  0.92138368
  0.95683077  0.86193837  0.95010478  0.88701359  0.92735388  0.92887239],[ 0.61523002  0.6466767   0.83297995  0.81507475  0.67342903  0.59751588
  0.74430318  0.6666006   0.72047632  0.64096161  0.80572614  0.69099748],10
