[ 0.98979592  0.9945248   0.94569358  0.9795684   0.89645473  0.97981338
  0.985987    0.90346262  0.9941005   0.95308741  0.9424895   0.97744078],[ 0.61239044  0.56854348  0.4523252   0.57346119  0.61145038  0.58125277
  0.61986527  0.56816461  0.67100576  0.47151843  0.59073272  0.50329597],10
[ 0.98791766  0.99382863  0.93628147  0.97720153  0.89738269  0.98660065
  0.98625778  0.91626039  0.99459805  0.95478379  0.94253326  0.983893  ],[ 0.63568393  0.62386502  0.67470432  0.65664835  0.580554    0.5443082
  0.68680553  0.57926851  0.65932017  0.47047012  0.6225322   0.45655904],10
[ 0.9892905   0.99585982  0.97251064  0.97692308  0.89281927  0.98138367
  0.98752144  0.91840044  0.99353188  0.94192215  0.94542192  0.96731503],[ 0.62984064  0.54851165  0.56927488  0.64998246  0.59716879  0.50448771
  0.63463549  0.56355902  0.70473083  0.45421391  0.65778419  0.55644423],10
