[ 0.9646255   0.9892694   0.92436762  0.95912886  0.83199783  0.94848752
  0.97183611  0.87518014  0.9839771   0.93797259  0.93192881  0.97063041],[ 0.69491368  0.67371057  0.71270593  0.70093166  0.62828483  0.63712787
  0.67923652  0.59936729  0.68815128  0.5231219   0.74388328  0.60625137],10
[ 0.97388798  0.99141344  0.93033154  0.96423074  0.8613755   0.96478623
  0.9842497   0.89061926  0.9835799   0.93495779  0.94803614  0.97652276],[ 0.60856574  0.67806328  0.7440224   0.68633298  0.59542242  0.63336704
  0.7360525   0.60098962  0.72350767  0.53599693  0.75148308  0.61433971],10
[ 0.97293493  0.99034142  0.92455124  0.95747188  0.84613986  0.95486383
  0.97361568  0.88745121  0.98156392  0.93422446  0.93998562  0.97138829],[ 0.65937583  0.64909202  0.7182888   0.69621487  0.5920662   0.61314076
  0.74913857  0.59044452  0.65867097  0.48384715  0.74106141  0.62770418],10
