[ 0.96423173  0.99325749  0.94299229  0.95384307  0.84986814  0.94785064
  0.96400089  0.90081469  0.97434781  0.91090679  0.95551815  0.96392159],[ 0.62558742  0.51655598  0.72781492  0.65128538  0.63183392  0.53192741
  0.6959937   0.60364848  0.71208125  0.41642795  0.70838565  0.60369484],10
[ 0.97137863  0.99326672  0.94293924  0.9527765   0.85452773  0.95268858
  0.9649966   0.90428102  0.96491251  0.90544249  0.94543096  0.9617729 ],[ 0.64379729  0.53464093  0.73016957  0.63203309  0.64209626  0.53756348
  0.68238661  0.53787068  0.72919209  0.44168099  0.70957844  0.60739058],10
[ 0.97528286  0.99375557  0.94117037  0.95323726  0.84802529  0.95012414
  0.96697872  0.9040243   0.97268216  0.90903416  0.9482111   0.96359271],[ 0.59204998  0.54823938  0.73579942  0.64088882  0.634253    0.5238604
  0.6914437   0.58673607  0.69213282  0.41334996  0.68996798  0.56751413],10
