[ 0.98587964  0.99266341  0.93690852  0.97219244  0.89013518  0.98251464
  0.98722634  0.90229613  0.99532428  0.94128577  0.93735909  0.98796878],[ 0.6041449   0.60951258  0.58978926  0.59824726  0.51509031  0.58076923
  0.59807894  0.59437549  0.652394    0.55390786  0.61403308  0.58898305],10
[ 0.99047138  0.99398833  0.96994392  0.98425355  0.90504474  0.97796193
  0.98611559  0.91318571  0.99537456  0.95845411  0.96928162  0.98775201],[ 0.58127413  0.532111    0.34179713  0.53717683  0.48744762  0.60354853
  0.64641792  0.61559518  0.7126494   0.56300903  0.52038809  0.59277643],10
[ 0.98957768  0.99359999  0.94917631  0.9825784   0.8927892   0.98195554
  0.98575728  0.90717437  0.99643037  0.95945745  0.95980221  0.99479731],[ 0.583727    0.58150599  0.52263107  0.64198471  0.50446021  0.62177198
  0.58617562  0.56656795  0.59472112  0.53726327  0.51207056  0.57744149],10
