[ 0.93406279  0.98130357  0.92722484  0.92871227  0.82535012  0.93259114
  0.95990941  0.87330858  0.95619576  0.90258019  0.92599006  0.93466981],[ 0.64216189  0.57872798  0.77813691  0.83330851  0.61393992  0.60136093
  0.75364065  0.62041979  0.73778664  0.57784713  0.78911764  0.67354405],10
[ 0.93646168  0.97748525  0.92472268  0.93416136  0.83144539  0.93605512
  0.95267372  0.87532039  0.95322183  0.89391833  0.93773937  0.93903119],[ 0.63402209  0.63184     0.80418737  0.82285849  0.66282171  0.60796299
  0.73481551  0.67345288  0.74547011  0.56542472  0.80240054  0.69643003],10
[ 0.9459491   0.97654634  0.92789881  0.93855985  0.83543298  0.93998742
  0.95915095  0.8847591   0.96236948  0.89471473  0.9306788   0.94821204],[ 0.64472336  0.6522734   0.77406269  0.81018691  0.64310659  0.62964339
  0.73309235  0.67940784  0.74613117  0.5746914   0.78175485  0.68835584],10
