[ 0.99002229  0.994063    0.92869875  0.97306449  0.90711731  0.98297712
  0.98658234  0.91616656  0.99709724  0.96001718  0.95351397  0.97842723],[ 0.65715613  0.56147971  0.5675785   0.73136945  0.51871237  0.54676697
  0.67043741  0.60007429  0.72707211  0.5514553   0.65830484  0.60036947],10
[ 0.98694399  0.99334616  0.96282149  0.96784118  0.89285736  0.98165289
  0.98881448  0.91859453  0.9979842   0.95946485  0.93960627  0.97021375],[ 0.64846138  0.62486874  0.56699425  0.68348687  0.57022536  0.53221308
  0.62763132  0.62609478  0.69711316  0.49170874  0.5981558   0.60275893],10
[ 0.98724226  0.99478694  0.90713861  0.96881501  0.89154228  0.97569389
  0.98187004  0.92117278  0.9957265   0.96584737  0.9336685   0.9551392 ],[ 0.69139818  0.62833731  0.49772291  0.67692149  0.47266318  0.53483794
  0.62128664  0.64233396  0.73400051  0.49992575  0.58958131  0.60101757],10
