[ 0.95528167  0.98364552  0.94362583  0.94677583  0.81443231  0.93838567
  0.95381977  0.8775395   0.97378936  0.91254561  0.93673562  0.9585877 ],[ 0.62308025  0.57061016  0.79226637  0.79888135  0.58900129  0.65017744
  0.74226286  0.68595911  0.74945166  0.55766536  0.80102036  0.70530457],10
[ 0.95299505  0.98528668  0.93863322  0.94534972  0.82418747  0.94320108
  0.95198339  0.88728117  0.97153595  0.90895569  0.93007511  0.95613621],[ 0.66130909  0.60794364  0.79231052  0.77936009  0.59384417  0.62533606
  0.74786376  0.63237775  0.67845236  0.50624652  0.74093484  0.67102908],10
[ 0.95177673  0.98403685  0.94415765  0.95152731  0.82577679  0.94230895
  0.95736356  0.88944389  0.96965463  0.90777278  0.93815559  0.94977229],[ 0.6095838   0.59495093  0.81864606  0.74725396  0.60904243  0.6799387
  0.76052562  0.65694862  0.71172574  0.5176093   0.75437757  0.67899346],10
