[ 0.99086031  0.9934651   0.95646481  0.97276112  0.88380567  0.97830133
  0.99112531  0.90621188  0.99739787  0.95445707  0.93297592  0.99398734],[ 0.62539286  0.6091952   0.56777881  0.62461592  0.49979891  0.5174817
  0.62493446  0.5461985   0.65219607  0.5241628   0.49584763  0.51675897],10
[ 0.98773424  0.99414776  0.93224223  0.97668038  0.88937333  0.98112478
  0.99227902  0.90853595  0.99670396  0.94465909  0.93458623  0.99266878],[ 0.57519874  0.43679824  0.45561976  0.58935056  0.50383482  0.51587339
  0.63062692  0.5378839   0.52792192  0.53614583  0.64105203  0.46055729],10
[ 0.99164395  0.99407069  0.91211129  0.97854203  0.8934278   0.97953528
  0.99085907  0.9057272   0.99566311  0.95849747  0.94664389  0.99119198],[ 0.66856166  0.57624311  0.36589624  0.59072975  0.46175654  0.56316722
  0.56061344  0.57281701  0.65438905  0.54978144  0.56378883  0.59398292],10
