[ 0.98195623  0.99576851  0.94030193  0.94154714  0.80632982  0.95824376
  0.9831316   0.88025365  0.99608013  0.94521637  0.93634827  0.98282828],[ 0.67238353  0.7288078   0.69539898  0.69316471  0.56745826  0.60813333
  0.79802069  0.63441935  0.72594388  0.51911778  0.75070053  0.70642357],10
[ 0.97943124  0.99616846  0.93489017  0.95083593  0.81032856  0.95549481
  0.98869938  0.88197018  0.99715002  0.96238432  0.92520774  0.97776747],[ 0.67532498  0.71588849  0.71228282  0.70294606  0.58952216  0.59964444
  0.79337232  0.64690323  0.78722739  0.51821387  0.73250927  0.72153288],10
[ 0.97119302  0.99308883  0.95173411  0.94642779  0.79517895  0.95616815
  0.98957967  0.86945351  0.99744517  0.94912057  0.93392872  0.98024119],[ 0.61920011  0.69299637  0.70794802  0.69622442  0.58522956  0.59448889
  0.77784026  0.59343011  0.77135934  0.56044925  0.74544492  0.69340761],10
