[ 0.97002589  0.98712088  0.936392    0.95774198  0.84404908  0.94757734
  0.97417683  0.87636675  0.96666971  0.91308947  0.93757038  0.94843622],[ 0.64851814  0.56967396  0.75371351  0.72064189  0.60315891  0.59379643
  0.67539905  0.61693356  0.67305692  0.47641049  0.72266412  0.63735338],10
[ 0.97647775  0.98817834  0.92551023  0.95399577  0.84533313  0.94896555
  0.97380909  0.88863792  0.9750485   0.92022511  0.94524927  0.95580814],[ 0.60567509  0.62248912  0.76331358  0.74076005  0.60012791  0.59357693
  0.67568408  0.61597164  0.68999523  0.52572529  0.75743752  0.62021618],10
[ 0.98079068  0.9865273   0.93753034  0.95586321  0.84458998  0.94575903
  0.97367472  0.89006795  0.96981718  0.9222819   0.93529179  0.95330031],[ 0.59848399  0.58483821  0.7730233   0.71230174  0.6026376   0.57449683
  0.6691024   0.61240756  0.72031731  0.48235581  0.71747833  0.64888502],10
