[ 0.97332419  0.98991039  0.92869064  0.94923536  0.84799324  0.95792328
  0.96891971  0.87012945  0.96733804  0.91848251  0.94020683  0.96619239],[ 0.60780802  0.62476999  0.77337643  0.69954319  0.55931228  0.58977345
  0.65416743  0.65612956  0.68424508  0.48242466  0.72275269  0.65534256],10
[ 0.96745281  0.98704041  0.93117126  0.94565831  0.8359336   0.95002583
  0.97086151  0.88431694  0.9698179   0.92338946  0.94777544  0.95543044],[ 0.61254378  0.58499916  0.77635118  0.71143411  0.65155823  0.63355192
  0.69975739  0.64790274  0.70604152  0.50974049  0.73204193  0.64776072],10
[ 0.97687884  0.99075953  0.93294967  0.94968167  0.85069399  0.95382653
  0.97540267  0.87527556  0.9620389   0.92859258  0.94022891  0.95709778],[ 0.58773082  0.67215903  0.76877868  0.73129845  0.60900249  0.64979265
  0.65590259  0.64698797  0.71162245  0.51591739  0.75291677  0.66032144],10
