dict_values([0.9695052912693749]),dict_values([0.72245902228182124]),dict_values([0.7525323978222529]),25,5
dict_values([0.9715335272324106]),dict_values([0.74202514120019902]),dict_values([0.75249597423510473]),25,5
dict_values([0.9428267842313367]),dict_values([0.72520288091431595]),dict_values([0.73179359134415323]),20,13
