[ 0.93056696  0.96706102  0.92817396  0.93033624  0.8115264   0.92111739
  0.9629153   0.8618986   0.95498754  0.90699756  0.92179515  0.9382422 ],[ 0.6286335   0.5428582   0.828329    0.80878757  0.67242442  0.58484736
  0.79929778  0.68153739  0.75629091  0.65042018  0.80545483  0.67010025],10
[ 0.92550556  0.97422991  0.92635485  0.92224825  0.81302967  0.92055895
  0.97033836  0.86060071  0.95851601  0.90561354  0.92986994  0.94068518],[ 0.64866993  0.67386948  0.81505489  0.80468886  0.66668411  0.61211671
  0.82782701  0.64975535  0.74630456  0.67643315  0.80801523  0.6899243 ],10
[ 0.92814148  0.95588783  0.92423567  0.91679295  0.80003775  0.9139434
  0.95569143  0.84404014  0.9260127   0.89775132  0.91797474  0.92089965],[ 0.65959889  0.63748021  0.84301308  0.81465485  0.63226357  0.60782791
  0.81417133  0.66846539  0.74267415  0.66878792  0.82439792  0.70477019],10
