[ 0.98759715  0.99817289  0.91983815  0.96488863  0.88134807  0.98119059
  0.9953044   0.92218646  0.99937028  0.97910102  0.94334625  0.98339501],[ 0.61360186  0.56841191  0.60167963  0.64148964  0.51429548  0.60511111
  0.66026891  0.61337634  0.60853592  0.49911868  0.66064488  0.52008103],10
[ 0.98639456  0.99677289  0.98414261  0.95982786  0.88573468  0.97638149
  0.99195812  0.91928059  0.99853065  0.98503244  0.93507752  0.98168707],[ 0.6636066   0.64283016  0.38295152  0.66565648  0.49390472  0.56577778
  0.73676713  0.56974194  0.65848511  0.53324144  0.62682558  0.58303368],10
[ 0.98858435  0.99791187  0.90824584  0.96788076  0.89807135  0.97737028
  0.99001511  0.90923225  0.99916037  0.97956441  0.94467054  0.98851883],[ 0.60800361  0.66730885  0.56596784  0.63357811  0.50404073  0.51053333
  0.68206128  0.62607527  0.75236457  0.5419868   0.65427874  0.64055035],10
