[ 0.98547802  0.99426857  0.96909492  0.98243363  0.90385516  0.97270788
  0.98200368  0.92631304  0.99507611  0.95932215  0.9479815   0.96830065],[ 0.5950916   0.57779923  0.4952907   0.6058876   0.49612321  0.48005698
  0.60450708  0.61164165  0.59645186  0.46632741  0.6144532   0.54178681],10
[ 0.98542615  0.99417821  0.93156733  0.97531814  0.88151023  0.97138909
  0.98123162  0.91426725  0.9941443   0.96399914  0.9441127   0.97400145],[ 0.61323178  0.56047104  0.514375    0.73363069  0.57727102  0.50555865
  0.67816569  0.60066664  0.66106365  0.46783271  0.65564379  0.55989056],10
[ 0.98789835  0.99412259  0.96347582  0.97600233  0.90928208  0.97430788
  0.97946691  0.91512829  0.9905838   0.95321877  0.94650967  0.97229484],[ 0.61988252  0.56898069  0.36399225  0.65694591  0.52212212  0.55811037
  0.57071112  0.58355062  0.71349841  0.48329008  0.64315086  0.53011935],10
