[ 0.9877284   0.99345821  0.8595646   0.97038943  0.8897963   0.97575064 0.97975195  0.91995635  0.99207674  0.94475246  0.95333109  0.96958096],[ 0.64616538  0.68401197  0.48017928  0.74032566  0.58256783  0.54111509
  0.67762749  0.62455101  0.6651567   0.49593765  0.68363421  0.59277141],10
[ 0.98796049  0.99243537  0.85712586  0.97149919  0.89673034  0.97255728
  0.97802397  0.91389517  0.99027873  0.9519399   0.93931116  0.98103632],[ 0.56865703  0.63968187  0.60210772  0.67890386  0.4820969   0.5379407
  0.64004198  0.62206005  0.68351467  0.52940407  0.61263826  0.62660427],10
[ 0.98765432  0.99287462  0.88258387  0.97365147  0.89092256  0.96834512
  0.9761845   0.90893317  0.99217137  0.94363533  0.9530904   0.97106481],[ 0.57710041  0.60133831  0.44111675  0.6523072   0.50600969  0.57096785
  0.62524617  0.62043091  0.72862933  0.48711556  0.67042279  0.60373363],10
