[ 0.95155707  0.98919364  0.93340355  0.94209552  0.82725967  0.94508651
  0.96134275  0.89040132  0.96368274  0.87058588  0.92440468  0.94759907],[ 0.60974711  0.56720463  0.79332849  0.7572784   0.64967259  0.56774124
  0.72247818  0.6135989   0.75165663  0.492232    0.7189246   0.65015042],10
[ 0.94675651  0.9881806   0.93131255  0.93348139  0.84123555  0.92714971
  0.95097239  0.88477317  0.95802653  0.88963475  0.92436779  0.9487928 ],[ 0.64971127  0.68393822  0.79028585  0.76272808  0.66599308  0.62284776
  0.73318071  0.62444255  0.75938537  0.52660668  0.77610019  0.6403777 ],10
[ 0.9477804   0.9877391   0.93076643  0.93714738  0.82329174  0.93006858
  0.94372773  0.8763647   0.95459956  0.90110651  0.92750578  0.94612384],[ 0.5979092   0.55847876  0.80500484  0.75445625  0.62682683  0.544206
  0.72805838  0.62260353  0.77464604  0.5374583   0.76888066  0.65713125],10
