[ 0.95812337  0.98480087  0.93184055  0.94293866  0.83397715  0.9467465
  0.96840974  0.88388398  0.95670245  0.89069862  0.93800375  0.95520133],[ 0.61475432  0.61988674  0.77613728  0.72461311  0.63967621  0.64837874
  0.77589144  0.60341409  0.76219329  0.49722419  0.74888568  0.67576981],10
[ 0.95501129  0.98558549  0.93793979  0.95359228  0.83120451  0.94636045
  0.97099348  0.88690522  0.96359986  0.90652927  0.94288267  0.95601917],[ 0.63297477  0.61927829  0.78857807  0.79306514  0.6141115   0.60798938
  0.75639785  0.60852441  0.71786463  0.50070872  0.7859441   0.65413641],10
[ 0.94416037  0.98276336  0.93156076  0.94110365  0.82118663  0.93904382
  0.96224928  0.87872785  0.95824212  0.88752705  0.93023263  0.9585697 ],[ 0.60662683  0.64225873  0.77840736  0.73813979  0.65471565  0.58839517
  0.78473809  0.6222781   0.72106069  0.5382412   0.77791673  0.64569976],10
