[ 0.97179147  0.99074106  0.93454969  0.9606314   0.84089873  0.96287134
  0.9637699   0.89043871  0.97707418  0.90938706  0.94538927  0.98515227],[ 0.57536907  0.45726581  0.75302052  0.64373421  0.6251207   0.52715201
  0.65615425  0.5598541   0.69301366  0.53243058  0.68497464  0.5738297 ],10
[ 0.97185693  0.99239001  0.95369691  0.96291692  0.85016249  0.96736633
  0.95230335  0.90159542  0.97942021  0.90841878  0.96059079  0.98764933],[ 0.55272541  0.49654888  0.73525151  0.66336746  0.56064029  0.55251832
  0.65653725  0.52449261  0.74069437  0.55452115  0.69275413  0.6073749 ],10
[ 0.97257573  0.98961146  0.94553767  0.96172393  0.856106    0.96515869
  0.95770797  0.91547623  0.97974213  0.90680498  0.96012599  0.98717195],[ 0.61370656  0.50552463  0.70393043  0.66416121  0.62432344  0.48722527
  0.62809426  0.56103025  0.69423734  0.58913502  0.67185888  0.6170904 ],10
