[ 0.953205    0.98299999  0.91995477  0.93720789  0.80492553  0.93431098
  0.95699887  0.85049242  0.96408765  0.88294825  0.92992694  0.95668511],[ 0.58590824  0.57232863  0.83569537  0.77676875  0.59808316  0.59019478
  0.80883952  0.66242092  0.72784229  0.63821596  0.79000047  0.71561613],10
[ 0.94373061  0.98352886  0.92966917  0.93633852  0.80954994  0.93720965
  0.97166552  0.85767529  0.95874095  0.90083698  0.9303586   0.95473395],[ 0.65042986  0.65772609  0.82549645  0.78214841  0.64011276  0.63435148
  0.8034281   0.66181218  0.7685008   0.60910798  0.79958938  0.68750771],10
[ 0.94056527  0.98397048  0.93109427  0.94272906  0.8074128   0.94038933
  0.97421357  0.85753252  0.96432414  0.90441642  0.93629312  0.95507174],[ 0.62808563  0.62179579  0.83250662  0.82155813  0.63471459  0.60970931
  0.797939    0.65296244  0.75943062  0.63645875  0.78896225  0.71865363],10
