[ 0.98879686  0.99335713  0.94646092  0.98234811  0.91620298  0.975242
  0.98888703  0.92924528  0.99456859  0.96131398  0.94696844  0.97976795],[ 0.60236589  0.63597078  0.36250367  0.56633444  0.52786576  0.54491226
  0.56903753  0.61772759  0.63639439  0.53135457  0.64191081  0.60081008],10
[ 0.98792618  0.99406162  0.87796042  0.9754419   0.90110998  0.97437482
  0.98544452  0.90807094  0.99592644  0.95555643  0.95237302  0.97889775],[ 0.54226361  0.54830211  0.55613825  0.60178571  0.55367462  0.54317072
  0.52301763  0.62228314  0.68167846  0.49565798  0.5737694   0.57293973],10
[ 0.98713265  0.99106419  0.93438443  0.97833961  0.89250433  0.97463497
  0.98464238  0.91214351  0.99208566  0.95445224  0.94917871  0.97766497],[ 0.60838507  0.57896314  0.64317457  0.64833887  0.62567984  0.50340136
  0.61097291  0.63000378  0.61882592  0.51864695  0.67412126  0.61589267],10
