[ 0.9351481   0.97888751  0.93150784  0.93212458  0.83496762  0.94410439
  0.95932016  0.87178352  0.95500658  0.87655326  0.92716219  0.96347193],[ 0.62770383  0.64542506  0.7999068   0.72281774  0.63232695  0.56773577
  0.72202457  0.64472178  0.70218681  0.58689843  0.76648561  0.70412484],10
[ 0.94832795  0.98671385  0.92951548  0.9298626   0.82044399  0.94670412
  0.96131752  0.88670909  0.96278282  0.87768514  0.9277888   0.95488452],[ 0.6792229   0.6852814   0.80587139  0.73570182  0.63704543  0.60864295
  0.73194892  0.60359283  0.7396065   0.5933496   0.77791119  0.70833622],10
[ 0.94724692  0.98630958  0.934709    0.93369503  0.83606478  0.95358836
  0.96655072  0.89471549  0.96316642  0.9026282   0.93189061  0.95867184],[ 0.63001479  0.63081456  0.80518795  0.77637919  0.65003115  0.51074542
  0.71899109  0.64428304  0.73240981  0.57499231  0.76526587  0.67804892],10
