[ 0.9504487   0.9815537   0.92509249  0.91111144  0.81219874  0.93662992
  0.95762516  0.85365884  0.94999514  0.8960181   0.92035411  0.94470102],[ 0.62674863  0.6252005   0.83268717  0.81274441  0.63084853  0.67805697
  0.80666242  0.63435795  0.72884235  0.68584428  0.81949686  0.714036  ],10
[ 0.94372672  0.98122436  0.91705536  0.91086533  0.82078986  0.93764126
  0.95689553  0.85114668  0.95186071  0.90018416  0.91496736  0.94914598],[ 0.6014821   0.71579259  0.83618515  0.81873254  0.6578764   0.63721971
  0.79641974  0.62898074  0.73951384  0.6537083   0.8306842   0.71910119],10
[ 0.95180973  0.98314662  0.92502841  0.92659488  0.80830779  0.93413638
  0.95630808  0.84241085  0.96285326  0.90210526  0.92333122  0.94887649],[ 0.6343594   0.61885417  0.8345511   0.78439246  0.67166365  0.6572654
  0.79964048  0.65762172  0.74280331  0.66375974  0.81212121  0.70126341],10
