[ 0.9432815   0.97849943  0.91106199  0.93935844  0.77471523  0.94974906
  0.97533984  0.84883961  0.99741584  0.91739115  0.92975746  0.96184562],[ 0.58803017  0.75215322  0.76678752  0.79140562  0.56591825  0.56857778
  0.85025241  0.62865591  0.73540217  0.6375757   0.7990341   0.78900988],10
[ 0.95640656  0.98822943  0.94181674  0.9335408   0.78586763  0.94006609
  0.98563133  0.88303809  0.99832622  0.93210648  0.93557603  0.96540169],[ 0.57218427  0.73840284  0.74967598  0.77796233  0.54904649  0.59564444
  0.82521118  0.59370968  0.82216837  0.58951008  0.79257758  0.77192538],10
[ 0.94626164  0.98486398  0.93480373  0.93438034  0.75738312  0.94503305
  0.98306502  0.88067903  0.99367947  0.92038454  0.93218928  0.96427295],[ 0.60359142  0.67629949  0.76887172  0.76915232  0.53296992  0.6084
  0.84083071  0.59753763  0.67278981  0.61307963  0.78091709  0.75036718],10
