[ 0.93396604  0.98383263  0.91593883  0.92573277  0.78710199  0.93731637
  0.97422988  0.85069646  0.99099561  0.92361367  0.91792732  0.96481389],[ 0.58300123  0.6569583   0.79753398  0.78555818  0.55441854  0.63648889
  0.86729645  0.6327957   0.7253967   0.67287354  0.81790008  0.72084072],10
[ 0.95843407  0.98541294  0.91816758  0.9244062   0.78030542  0.94587613
  0.98011135  0.84648322  0.99318355  0.92220969  0.92469016  0.96404159],[ 0.61241579  0.72359474  0.79414495  0.81004556  0.54830527  0.59551111
  0.83480782  0.65827957  0.71406238  0.63147428  0.81325138  0.74609606],10
[ 0.95009841  0.98259653  0.91397455  0.92059185  0.78596027  0.93948203
  0.97540175  0.84121701  0.99300643  0.9120517   0.92176952  0.95580493],[ 0.60990132  0.76537474  0.79699979  0.78936581  0.59463515  0.61577778
  0.82863498  0.67276344  0.74407879  0.60239085  0.81810669  0.7646324 ],10
