[ 0.99226355  0.99399028  0.98703041  0.98445212  0.90768471  0.98050919
  0.98543191  0.91262837  0.99664798  0.96625379  0.94850877  0.98434783],[ 0.66473306  0.70042761  0.38978109  0.64519512  0.60846846  0.60267233
  0.7027454   0.57193768  0.6634936   0.52404419  0.66897409  0.62794224],10
[ 0.99274507  0.99367144  0.9917263   0.98920286  0.90094287  0.98297991
  0.98412661  0.92019837  0.99506338  0.95369902  0.94885965  0.98498024],[ 0.69358753  0.66983718  0.51874908  0.63143272  0.56665232  0.54250457
  0.63675531  0.58462629  0.73144411  0.5451874   0.67686611  0.60824306],10
[ 0.9906344   0.99147818  0.98971377  0.97877591  0.91440292  0.98159291
  0.98333411  0.92494474  0.99640419  0.97202562  0.94467836  0.98426877],[ 0.67510471  0.68496793  0.53715968  0.63647403  0.5730497   0.54849984
  0.59654372  0.58909372  0.6554878   0.48471148  0.58311425  0.58616686],10
