[ 0.98638422  0.99249066  0.96800833  0.98349752  0.88415488  0.97882298
  0.98827417  0.93096601  0.99212147  0.95588854  0.94168243  0.9858898 ],[ 0.62860932  0.64637228  0.52062755  0.68414259  0.63699199  0.61236231
  0.67487785  0.62706072  0.72765546  0.54740858  0.66806808  0.56601273],10
[ 0.98496465  0.98982944  0.89597502  0.97225023  0.87283489  0.97117979
  0.9801926   0.91643216  0.98737347  0.94280908  0.94042134  0.96057334],[ 0.62388146  0.65144865  0.48181145  0.6691182   0.57857862  0.63058124
  0.61750096  0.62251779  0.73037208  0.54350171  0.68094549  0.57209528],10
[ 0.98694211  0.99234423  0.95294934  0.98380779  0.8865737   0.97692116
  0.98532855  0.91205342  0.99383022  0.96030401  0.95639521  0.98752792],[ 0.6583833   0.67352752  0.51305828  0.72067542  0.57143606  0.57585071
  0.66125337  0.62195346  0.70221027  0.55048671  0.68531296  0.56697313],10
