[ 0.96545571  0.99094834  0.94675986  0.9489142   0.8408595   0.96234074
  0.96245637  0.89091633  0.9770668   0.90433044  0.94554834  0.97454117],[ 0.68267394  0.58422833  0.75382417  0.70138355  0.63365243  0.49622395
  0.63830425  0.563855    0.67182481  0.4973852   0.72976939  0.6229895 ],10
[ 0.97235315  0.99084272  0.94580533  0.95171516  0.85222258  0.9617161
  0.9653779   0.89473482  0.97502812  0.90433508  0.95026647  0.97207641],[ 0.68979171  0.65278262  0.76965517  0.70527235  0.64451116  0.48463941
  0.62433526  0.58474318  0.71330615  0.47542942  0.70609872  0.61717434],10
[ 0.96435286  0.98747141  0.93964527  0.95987597  0.85099456  0.95954745
  0.97898012  0.89365756  0.97598888  0.90343039  0.94695772  0.96985344],[ 0.6866488   0.65794337  0.75535881  0.66407123  0.67214796  0.51494103
  0.65268519  0.5897084   0.70527551  0.4699995   0.70955784  0.62445483],10
